Iteration,Symbol,Train R2 RF,Test R2 RF,Train R2 XGB,Test R2 XGB,Train R2 LR,Test R2 LR,Train R2 Ensemble,Test R2 Ensemble
1,SYK,0.8135723423274511,-0.14957755995924726,0.9544057668071798,-0.3156100346919142,0.36497574215158035,-0.708938861063025,0.7939092281310758,-0.3366380116236516
2,SYK,0.8327681095129548,-2.8102193697041695,0.9864370210783072,-3.352845347513555,0.4778593732304389,-3.1726327685899802,0.846507381560626,-2.6434967345512197
3,SYK,0.8530379611827446,-0.22314040655563017,0.9808264658746909,-1.958803192551652,0.2851457531482391,-0.47452741844717816,0.8099111419642175,-0.7157758034194006
4,SYK,0.8392985300512289,-0.7809730713139345,0.9867386932233063,-0.23464981658747552,0.44215086081302524,-0.9831014740628599,0.8412466534027896,-0.12423072818759251
5,SYK,0.7806294013843378,-1.1087642786260798,0.9963182870080044,-16.74570929171834,0.33209143614319125,-15.843044312905764,0.8161660370800847,-6.297785697704753
6,SYK,0.8568241186758357,0.054202932471683396,0.9818824906067063,-0.35019489500349454,0.3689447293374071,-2.1460626612113627,0.8276891976437967,-0.3304669013097066
7,SYK,0.8397783972025004,-0.050722114040791855,0.9679228270988383,0.04939321014586451,0.44665394506783185,-2.5744514201557998,0.8220267782508514,-0.3688694505894665
