Iteration,Symbol,Train R2 RF,Test R2 RF,Train R2 XGB,Test R2 XGB,Train R2 LR,Test R2 LR,Train R2 Ensemble,Test R2 Ensemble
1,QCOM,0.8734787728937756,-2.7111599073006727,0.9926835848479192,-1.4508235216235192,0.37711812647741894,-1.8065119186964376,0.8455803382113509,-1.6509933314658722
2,QCOM,0.8337070301361688,-0.29238221883794435,0.9885575228922493,-0.013452150646507066,0.5942627515035974,-0.9848083893744546,0.8717076448897839,-0.20829413113846473
3,QCOM,0.8662117678965978,-0.12697035879213558,0.9919656823476017,-0.1699296377832833,0.5234157243346761,-0.3680502522300326,0.86498733417648,-0.16488786017100598
4,QCOM,0.845247310736971,-0.3972755693957519,0.9919274816005219,-1.9637405145182671,0.4002520089173215,-2.840112785491686,0.8414415814938695,-0.991147716292434
5,QCOM,0.8505828265298128,-11.747390522222856,0.9983380847352152,-20.76418147316425,0.30771892890256747,-51.8387576746737,0.8392952358391461,-24.386649376790224
6,QCOM,0.8855860717040254,-0.24763503555350042,0.9899846901907547,-0.8175026328429666,0.8003555496790836,-0.5350861877111455,0.9319346912339348,-0.43800037659358226
7,QCOM,0.8526643084195871,-0.4501039062919996,0.9964278490368813,-0.9868875912807029,0.6999893780715496,-2.0913862512104924,0.9137632403464063,-0.8599688032264268
