Iteration,Symbol,Train R2 RF,Test R2 RF,Train R2 XGB,Test R2 XGB,Train R2 LR,Test R2 LR,Train R2 Ensemble,Test R2 Ensemble
1,ORCL,0.8371320469803875,-0.46914537399281464,0.989295314766749,-0.7693756887937424,0.33892826074585836,-2.523209001429206,0.83018431729743,-1.1221924521970257
2,ORCL,0.8814714484023755,0.04412937414266338,0.9839997975466819,0.09980727124229727,0.5198969115761944,-0.21903470659086266,0.865014812945754,0.07348097386728236
3,ORCL,0.887331773934869,-0.30943761935966885,0.9871436255415603,-0.15468461040499792,0.4370357828362066,-0.16805148076886245,0.8606158156314648,-0.1610508536390407
4,ORCL,0.8496192295920737,-30.30539455789786,0.9925625743139673,-51.08189989911931,0.8125528610289354,-30.051237904146138,0.9316155341276119,-16.687489488435023
5,ORCL,0.8545062315884746,-7.998621538812113,0.9838520040283152,-12.535766260915159,0.5691867715684715,-10.418449170932066,0.872117867372793,-7.9342867254585006
6,ORCL,0.8722689572437565,-0.3418079430901706,0.9899037609514628,-0.4379771549102305,0.3252066860372359,0.38729424131526946,0.8358559400898904,0.16335651262361472
7,ORCL,0.8190662089037083,-0.14592761056370618,0.9878415889782756,-0.4134987290738954,0.4661756104439727,-0.33226341785995084,0.8492713072536471,-0.166546728879432
