Date,Close,Type,Symbol
2019-07-01,60.83399963378906,Historical,GOOG
2019-08-01,59.40499877929688,Historical,GOOG
2019-09-01,60.95000076293945,Historical,GOOG
2019-10-01,63.00550079345703,Historical,GOOG
2019-11-01,65.24800109863281,Historical,GOOG
2019-12-01,66.85099792480469,Historical,GOOG
2020-01-01,71.71150207519531,Historical,GOOG
2020-02-01,66.96649932861328,Historical,GOOG
2020-03-01,58.14049911499024,Historical,GOOG
2020-04-01,67.43299865722656,Historical,GOOG
2020-05-01,71.44599914550781,Historical,GOOG
2020-06-01,70.68049621582031,Historical,GOOG
2020-07-01,74.14800262451172,Historical,GOOG
2020-08-01,81.70899963378906,Historical,GOOG
2020-09-01,73.4800033569336,Historical,GOOG
2020-10-01,81.05049896240234,Historical,GOOG
2020-11-01,88.03700256347656,Historical,GOOG
2020-12-01,87.59400177001953,Historical,GOOG
2021-01-01,91.78700256347656,Historical,GOOG
2021-02-01,101.84300231933594,Historical,GOOG
2021-03-01,103.43150329589844,Historical,GOOG
2021-04-01,120.50599670410156,Historical,GOOG
2021-05-01,120.5780029296875,Historical,GOOG
2021-06-01,125.31600189208984,Historical,GOOG
2021-07-01,135.2209930419922,Historical,GOOG
2021-08-01,145.46200561523438,Historical,GOOG
2021-09-01,133.2655029296875,Historical,GOOG
2021-10-01,148.27049255371094,Historical,GOOG
2021-11-01,142.45199584960938,Historical,GOOG
2021-12-01,144.67950439453125,Historical,GOOG
2022-01-01,135.69850158691406,Historical,GOOG
2022-02-01,134.89100646972656,Historical,GOOG
2022-03-01,139.64950561523438,Historical,GOOG
2022-04-01,114.96649932861328,Historical,GOOG
2022-05-01,114.03900146484376,Historical,GOOG
2022-06-01,109.37249755859376,Historical,GOOG
2022-07-01,116.63999938964844,Historical,GOOG
2022-08-01,109.1500015258789,Historical,GOOG
2022-09-01,96.1500015258789,Historical,GOOG
2022-10-01,94.66000366210938,Historical,GOOG
2022-11-01,101.4499969482422,Historical,GOOG
2022-12-01,88.7300033569336,Historical,GOOG
2023-01-01,99.87000274658205,Historical,GOOG
2023-02-01,90.3000030517578,Historical,GOOG
2023-03-01,104.0,Historical,GOOG
2023-04-01,108.22000122070312,Historical,GOOG
2023-05-01,123.37000274658205,Historical,GOOG
2023-06-01,120.97000122070312,Historical,GOOG
2023-07-01,133.11000061035156,Historical,GOOG
2023-08-01,137.35000610351562,Historical,GOOG
2023-09-01,131.85000610351562,Historical,GOOG
2023-10-01,125.3000030517578,Historical,GOOG
2023-11-01,133.9199981689453,Historical,GOOG
2023-12-01,140.92999267578125,Historical,GOOG
2024-01-01,141.8000030517578,Historical,GOOG
2024-02-01,139.77999877929688,Historical,GOOG
2024-03-01,152.25999450683594,Historical,GOOG
2024-04-01,164.63999938964844,Historical,GOOG
2024-05-01,173.9600067138672,Historical,GOOG
2024-06-01,178.19000244140625,Historical,GOOG
2024-07-01,185.76444055470012,Forecast,GOOG
2024-08-01,190.98926916619408,Forecast,GOOG
2024-09-01,202.43557421570466,Forecast,GOOG
2024-10-01,193.25521877703193,Forecast,GOOG
2024-11-01,200.85374008041384,Forecast,GOOG
2024-12-01,193.53433163752194,Forecast,GOOG
