level_0,Datetime,Open,High,Low,Close,Adj Close,Volume,Ticker,datetime,avg_headline_sentiment,avg_summary_sentiment,weighted_headline_sentiment,weighted_summary_sentiment,sum_headline_sentiment,sum_summary_sentiment,extreme_headline_sentiment,extreme_summary_sentiment,positive,negative,neutral,positive_rolling,negative_rolling,neutral_rolling,roc_avg_headline_sentiment,rsi_avg_headline_sentiment,sma_avg_headline_sentiment,slope_avg_headline_sentiment,roc_avg_summary_sentiment,rsi_avg_summary_sentiment,sma_avg_summary_sentiment,slope_avg_summary_sentiment,roc_weighted_headline_sentiment,rsi_weighted_headline_sentiment,sma_weighted_headline_sentiment,slope_weighted_headline_sentiment,roc_weighted_summary_sentiment,rsi_weighted_summary_sentiment,sma_weighted_summary_sentiment,slope_weighted_summary_sentiment,roc_sum_headline_sentiment,rsi_sum_headline_sentiment,sma_sum_headline_sentiment,slope_sum_headline_sentiment,roc_sum_summary_sentiment,rsi_sum_summary_sentiment,sma_sum_summary_sentiment,slope_sum_summary_sentiment,roc_extreme_headline_sentiment,rsi_extreme_headline_sentiment,sma_extreme_headline_sentiment,slope_extreme_headline_sentiment,roc_extreme_summary_sentiment,rsi_extreme_summary_sentiment,sma_extreme_summary_sentiment,slope_extreme_summary_sentiment,roc_positive_rolling,rsi_positive_rolling,sma_positive_rolling,slope_positive_rolling,roc_negative_rolling,rsi_negative_rolling,sma_negative_rolling,slope_negative_rolling,roc_neutral_rolling,rsi_neutral_rolling,sma_neutral_rolling,slope_neutral_rolling,pct_change,rolling_correlation,rolling_p_value,significant_correlation,rsi,sma,roc,slope
95339,2024-03-13 19:00:00+00:00,180.9600067138672,181.80999755859375,180.92999267578125,181.5,181.5,165627.0,AME,2024-03-13 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0033722185439206687,,,False,,181.49250157674155,0.013772638459159587,
95340,2024-03-14 13:00:00+00:00,182.07000732421875,182.3800048828125,181.4499969482422,181.52999877929688,181.52999877929688,45544.0,AME,2024-03-14 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0.0,50.0,0.08038,-8.486900864942132e-18,0.0,0.0,0.0,0.0,0.0,50.0,0.08038,-8.486900864942132e-18,0.0,0.0,0.0,0.0,0.0,50.0,0.16076,-1.6973801729884264e-17,0.0,0.0,0.0,0.0,0.0,50.0,0.08038,-8.486900864942132e-18,0.0,0.0,0.0,0.0,inf,100.0,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016528253056136144,,,False,51.85731056393903,181.51083501180014,0.12133981780680762,
95341,2024-03-14 14:00:00+00:00,181.6199951171875,181.69000244140625,180.85499572753906,180.9949951171875,180.9949951171875,44772.0,AME,2024-03-14 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0.0,50.0,0.08038,-0.040190000000000003,0.0,0.0,0.0,0.0,0.0,50.0,0.08038,-0.040190000000000003,0.0,0.0,0.0,0.0,0.0,50.0,0.16076,-0.08038000000000001,0.0,0.0,0.0,0.0,0.0,50.0,0.08038,-0.040190000000000003,0.0,0.0,0.0,0.0,inf,100.0,1.6,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029471914598524496,,,False,45.199423180481055,181.52625147501627,0.10231600082500926,
95342,2024-03-14 15:00:00+00:00,180.97689819335938,181.75999450683594,180.97689819335938,181.75999450683594,181.75999450683594,25709.0,AME,2024-03-14 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.08038,-0.08038000000000003,0.0,0.0,0.0,0.0,0.0,50.0,0.08038,-0.08038000000000003,0.0,0.0,0.0,0.0,0.0,50.0,0.16076,-0.16076000000000007,0.0,0.0,0.0,0.0,0.0,50.0,0.08038,-0.08038000000000003,0.0,0.0,0.0,0.0,0.0,50.0,1.6,-0.4000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004226632836743072,,,False,54.24530896021854,181.56041717529297,0.22607575931720056,0.008833058675128314
95343,2024-03-14 16:00:00+00:00,181.68499755859375,181.83999633789062,181.27999877929688,181.27999877929688,181.27999877929688,37008.0,AME,2024-03-14 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.2,-0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002640821644176561,,,False,48.801982279477656,181.49041748046875,-0.4612323525212695,-2.543131529364473e-07
95344,2024-03-14 17:00:00+00:00,181.19000244140625,181.97999572753906,181.00999450683594,181.86000061035156,181.86000061035156,37078.0,AME,2024-03-14 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.8,-0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031994805547237437,,,False,54.71528999538146,181.49375025431314,0.021996086526108793,0.0002497355143191271
95345,2024-03-14 18:00:00+00:00,181.78500366210938,181.85000610351562,181.0,181.27000427246094,181.27000427246094,53677.0,AME,2024-03-14 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.4,-0.40000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032442336737628086,,,False,48.56990341664575,181.45708338419595,-0.2421454103510697,-0.010750325520837123
95346,2024-03-14 19:00:00+00:00,181.19000244140625,181.8800048828125,180.80999755859375,181.6999969482422,181.6999969482422,141803.0,AME,2024-03-14 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002372111577461755,,,False,52.73633560377839,181.51041666666666,0.35347365419096727,-0.003166961669921875
95347,2024-03-15 13:00:00+00:00,180.33999633789062,182.20989990234375,180.33999633789062,182.2050018310547,182.2050018310547,271866.0,AME,2024-03-15 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0.0,50.0,0.059199999999999996,-2.8903121981081374e-18,0.0,0.0,0.0,0.0,0.0,50.0,0.059199999999999996,-2.8903121981081374e-18,0.0,0.0,0.0,0.0,0.0,50.0,0.11839999999999999,-5.780624396216275e-18,0.0,0.0,0.0,0.0,0.0,50.0,0.059199999999999996,-2.8903121981081374e-18,0.0,0.0,0.0,0.0,inf,100.0,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027793334688737126,,,False,57.129016239653,181.56749979654947,0.3773675311099987,0.0014165242513001885
95348,2024-03-15 14:00:00+00:00,182.35000610351562,182.82000732421875,182.1999969482422,182.68499755859375,182.68499755859375,46644.0,AME,2024-03-15 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0.0,50.0,0.059199999999999996,-0.0296,0.0,0.0,0.0,0.0,0.0,50.0,0.059199999999999996,-0.0296,0.0,0.0,0.0,0.0,0.0,50.0,0.11839999999999999,-0.0592,0.0,0.0,0.0,0.0,0.0,50.0,0.059199999999999996,-0.0296,0.0,0.0,0.0,0.0,inf,100.0,1.6,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026343718488262002,,,False,60.85315209929873,181.62458292643228,0.3763722849416209,0.02683308919270644
95349,2024-03-15 15:00:00+00:00,182.6699981689453,182.7100067138672,182.1649932861328,182.2899932861328,182.2899932861328,34204.0,AME,2024-03-15 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.059199999999999996,-0.05920000000000004,0.0,0.0,0.0,0.0,0.0,50.0,0.059199999999999996,-0.05920000000000004,0.0,0.0,0.0,0.0,0.0,50.0,0.11839999999999999,-0.11840000000000007,0.0,0.0,0.0,0.0,0.0,50.0,0.059199999999999996,-0.05920000000000004,0.0,0.0,0.0,0.0,0.0,50.0,1.6,-0.4000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021622151667612943,,,False,56.50320240787574,181.66374842325845,0.2584896837431045,0.0339996337890625
