Iteration,Symbol,Train R2 RF,Test R2 RF,Train R2 XGB,Test R2 XGB,Train R2 LR,Test R2 LR,Train R2 Ensemble,Test R2 Ensemble
1,AMGN,0.8633759561656591,-0.09214048285066978,0.9544634515846397,-0.2497535008410383,0.480627476552435,-1.5448887923814647,0.8386933080495833,-0.46970238271306397
2,AMGN,0.8337403875337158,-0.28503160125694205,0.9823115874867061,-1.501381941421588,0.413537046872566,-0.7965793695929155,0.8300373374005012,-0.6441359281016876
3,AMGN,0.8453732543407942,-0.09160471961657501,0.9822910349827115,-0.10010860335306782,0.5914279143549699,-0.542844874027337,0.8663149607568139,-0.1355862162860706
4,AMGN,0.7903711971285714,-0.41514842218367365,0.9861875464696299,-0.3710861108445429,0.6546793991235571,-2.738983340994791,0.8738453374460187,-0.8495425364886906
5,AMGN,0.7808049860810768,-1.1759047270724725,0.9988950175427099,-10.655722243127867,0.5146720077411038,-14.082702172394546,0.8614646212868368,-5.251928084451413
6,AMGN,0.8509475829975722,-0.03151862452043197,0.9888308658433962,-0.06480342110894144,0.5211926498362496,-1.437481163232845,0.863082500073504,-0.2687779570115838
7,AMGN,0.8417860407526023,-0.28999997773693376,0.9799476784797866,-0.6268219073556229,0.07467802458355544,-0.7020943878431742,0.7618137809480102,-0.31795431884271186
