Iteration,Symbol,Train R2 RF,Test R2 RF,Train R2 XGB,Test R2 XGB,Train R2 LR,Test R2 LR,Train R2 Ensemble,Test R2 Ensemble
1,AMAT,0.7448182092181499,-0.38058667183128536,0.8869491215501586,-0.3106572411815083,0.7437065925325123,-34306.111406150914,0.8361978133635538,-3784.5718599626534
2,AMAT,0.8178077727779433,-0.6864361438915059,0.994364266409429,-1.5634324037686587,0.5081304544054341,-3.0309987409376413,0.8614102020038907,-0.9815048562284427
3,AMAT,0.8634527282239927,-0.19497473524066744,0.9930091012675281,-0.31569405320888855,0.5829243489216166,-0.21723998986271598,0.8809360543013676,0.05430141159467994
4,AMAT,0.8337034553241829,-3.058891814350784,0.9957769640972425,-8.537978682965022,0.43985199341458714,-16.7518678001913,0.8525439015369795,-4.258031269142436
5,AMAT,0.8692052021353336,-1.558974439404989,0.9954937240645501,-1.4677537536243164,0.46850026328894645,-10.194236083582208,0.8755534662287979,-0.8597979185564515
6,AMAT,0.858327963949159,-0.21170418985148554,0.9840078125700371,-0.2691268381331562,0.42542264966609356,-1.1859709414634763,0.8436778761943542,-0.3785199165732953
7,AMAT,0.8358040948312347,-0.22671996039553477,0.9945140159755884,-0.7741147619186792,0.46070684635945125,-0.603634449287936,0.8549304617251117,-0.39539362358675256
